Division,District,Thana / Upazila,Primary Sector,Sub-Activity (Dominant Livelihood),FMCG Trade Class,Market Classification
Rajshahi,Naogaon,Atrai,Agriculture,Rice / sugarcane farming,General Trade,Rural
Rajshahi,Naogaon,Badalgachhi,Agriculture,Rice & vegetable farming,General Trade,Rural
Rajshahi,Naogaon,Dhamoirhat,Agriculture,Rice farming,General Trade,Rural
Rajshahi,Naogaon,Mahadebpur,Agriculture,Rice & vegetable farming,General Trade,Rural
Rajshahi,Naogaon,Manda,Agriculture,Rice farming,General Trade,Rural
Rajshahi,Naogaon,Mohadevpur,Agriculture,Rice & vegetable farming,General Trade,Rural
Rajshahi,Naogaon,Naogaon Sadar,Services,Agro-trade / education,General Trade,Semi-Urban
Rajshahi,Naogaon,Niamatpur,Agriculture,Rice farming,General Trade,Rural
Rajshahi,Naogaon,Patnitala,Agriculture,Rice & vegetable farming,General Trade,Rural
Rajshahi,Naogaon,Porsha,Agriculture,Rice farming,General Trade,Rural
Rajshahi,Naogaon,Raninagar,Agriculture,Rice farming,General Trade,Rural
Rajshahi,Natore,Bagatipara,Agriculture,Rice farming,General Trade,Rural
Rajshahi,Natore,Baraigram,Agriculture,Rice & vegetable farming,General Trade,Rural
Rajshahi,Natore,Gurudaspur,Agriculture,Rice & sugarcane,General Trade,Rural
Rajshahi,Natore,Lalpur,Agriculture,Rice farming,General Trade,Rural
Rajshahi,Natore,Natore Sadar,Services,Trade / agro-processing,General Trade,Semi-Urban
Rajshahi,Natore,Singra,Agriculture,Rice & vegetable farming,General Trade,Rural
Rajshahi,Pabna,Atgharia,Agriculture,Rice farming,General Trade,Rural
Rajshahi,Pabna,Bera,Agriculture,Rice / sugarcane,General Trade,Rural
Rajshahi,Pabna,Bhangura,Agriculture,Rice farming,General Trade,Rural
Rajshahi,Pabna,Chatmohar,Agriculture,Rice farming,General Trade,Rural
Rajshahi,Pabna,Faridpur,Agriculture,Rice & vegetable farming,General Trade,Rural
Rajshahi,Pabna,Ishwardi,Industry,Sugar mill / EPZ / railway hub,Industrial GT,Semi-Urban
Rajshahi,Pabna,Pabna Sadar,Services,Trade / handloom / education,General Trade,Semi-Urban
Rajshahi,Pabna,Santhia,Agriculture,Rice / sugarcane,General Trade,Rural
Rajshahi,Pabna,Sujanagar,Agriculture,Rice & vegetable farming,General Trade,Rural
Rajshahi,Sirajganj,Belkuchi,Industry,Handloom / textile weaving,General Trade,Semi-Urban
Rajshahi,Sirajganj,Chauhali,Agriculture,Rice / char cultivation,General Trade,Rural
Rajshahi,Sirajganj,Kamarkhanda,Industry,Handloom / weaving,General Trade,Rural
Rajshahi,Sirajganj,Kazipur,Agriculture,Rice / char farming,General Trade,Rural
Rajshahi,Sirajganj,Raiganj,Agriculture,Rice & vegetable farming,General Trade,Rural
Rajshahi,Sirajganj,Shahjadpur,Industry,Handloom / textile / trade,General Trade,Semi-Urban
Rajshahi,Sirajganj,Sirajganj Sadar,Industry,Handloom / trade / services,General Trade,Semi-Urban
Rajshahi,Sirajganj,Tarash,Agriculture,Rice & vegetable farming,General Trade,Rural
Rajshahi,Sirajganj,Ullahpara,Agriculture,Rice & vegetable farming,General Trade,Rural
Rajshahi,Joypurhat,Joypurhat Sadar,Services,Trade / sugar mill / agro-processing,Mixed (GT+MT),Semi-Urban
Rajshahi,Joypurhat,Akkelpur,Agriculture,Rice / agro-trade / railway,General Trade,Rural
Rajshahi,Joypurhat,Kalai,Agriculture,Rice / potato / poultry,General Trade,Rural
Rajshahi,Joypurhat,Khetlal,Agriculture,Rice / vegetable farming,General Trade,Rural
Rajshahi,Joypurhat,Panchbibi,Agriculture,Rice / sugarcane / Hili port trade,General Trade,Semi-Urban
Khulna,Khulna,Daulatpur,Industry,Jute mill / industrial area,Industrial GT,Urban
Khulna,Khulna,Khan Jahan Ali,Services,Port-adjacent / residential,General Trade,Urban
Khulna,Khulna,Khalishpur,Industry,Jute / textile mill / industrial,Industrial GT,Urban
Khulna,Khulna,Khulna Sadar,Services,Commercial / wholesale / services,Mixed (GT+MT),Urban
Khulna,Khulna,Sonadanga,Services,Residential / commercial hub,Mixed (GT+MT),Urban
Khulna,Khulna,Aira,Agriculture,Shrimp / rice farming,General Trade,Rural
Khulna,Khulna,Batiaghata,Agriculture,Shrimp / rice farming,General Trade,Rural
Khulna,Khulna,Dacope,Agriculture,Shrimp / mangrove / fishing,General Trade,Rural
Khulna,Khulna,Dighalia,Agriculture,Rice / shrimp farming,General Trade,Rural
Khulna,Khulna,Dumuria,Agriculture,Shrimp / rice / aquaculture,General Trade,Rural
Khulna,Khulna,Koyra,Agriculture,Shrimp / Sundarbans fishing,General Trade,Rural
Khulna,Khulna,Paikgachha,Agriculture,Shrimp / salt / rice,General Trade,Rural
Khulna,Khulna,Phultala,Industry,Small industry / residential,General Trade,Semi-Urban
Khulna,Khulna,Rupsha,Industry,Industrial / port-adjacent,Industrial GT,Semi-Urban
Khulna,Khulna,Terokhada,Agriculture,Rice / shrimp farming,General Trade,Rural
Khulna,Bagerhat,Bagerhat Sadar,Services,Trade / Sundarbans tourism,General Trade,Semi-Urban
Khulna,Bagerhat,Chitalmari,Agriculture,Rice / shrimp farming,General Trade,Rural
Khulna,Bagerhat,Fakirhat,Agriculture,Rice / shrimp farming,General Trade,Rural
Khulna,Bagerhat,Kachua,Agriculture,Rice farming / fishing,General Trade,Rural
Khulna,Bagerhat,Mollahat,Agriculture,Rice & vegetable farming,General Trade,Rural
Khulna,Bagerhat,Mongla,Industry,Sea port / Sundarbans / EPZ,Industrial GT,Semi-Urban
Khulna,Bagerhat,Morrelganj,Agriculture,Rice / shrimp / fishing,General Trade,Rural
Khulna,Bagerhat,Rampal,Industry,Power plant / shrimp / rice,Industrial GT,Rural
Khulna,Bagerhat,Sarankhola,Agriculture,Sundarbans fishing / rice,General Trade,Rural
Khulna,Satkhira,Assasuni,Agriculture,Shrimp / rice farming,General Trade,Rural
Khulna,Satkhira,Debhata,Agriculture,Shrimp / rice,General Trade,Rural
Khulna,Satkhira,Kalaroa,Agriculture,Rice / shrimp farming,General Trade,Rural
Khulna,Satkhira,Kaliganj,Agriculture,Shrimp / rice / fishing,General Trade,Rural
Khulna,Satkhira,Satkhira Sadar,Services,Trade / shrimp processing,General Trade,Semi-Urban
Khulna,Satkhira,Shyamnagar,Agriculture,Sundarbans fishing / shrimp,General Trade,Rural
Khulna,Satkhira,Tala,Agriculture,Rice / shrimp farming,General Trade,Rural
Khulna,Jessore,Abhaynagor,Industry,Jute mill / agro-processing,Industrial GT,Semi-Urban
Khulna,Jessore,Bagherpara,Agriculture,Rice & vegetable farming,General Trade,Rural
Khulna,Jessore,Chaugachha,Agriculture,Rice & vegetable farming,General Trade,Rural
Khulna,Jessore,Jhikargachha,Agriculture,Rice / vegetable / border trade,General Trade,Rural
Khulna,Jessore,Jessore Sadar,Services,Trade / transport / education,Mixed (GT+MT),Semi-Urban
Khulna,Jessore,Keshabpur,Agriculture,Rice & vegetable farming,General Trade,Rural
Khulna,Jessore,Manirampur,Agriculture,Rice / vegetable farming,General Trade,Rural
Khulna,Jessore,Sharsha,Agriculture,Rice / vegetable / border trade,General Trade,Rural
Khulna,Narail,Kalia,Agriculture,Rice & vegetable farming,General Trade,Rural
Khulna,Narail,Lohagara,Agriculture,Rice farming,General Trade,Rural
Khulna,Narail,Narail Sadar,Services,Trade / small industry,General Trade,Semi-Urban
Khulna,Magura,Magura Sadar,Services,Trade / agro-processing,General Trade,Semi-Urban
Khulna,Magura,Mohammadpur,Agriculture,Rice farming,General Trade,Rural
Khulna,Magura,Shalikha,Agriculture,Rice & vegetable farming,General Trade,Rural
Khulna,Magura,Sreepur,Agriculture,Rice farming,General Trade,Rural
Khulna,Jhenaidah,Harinakunda,Agriculture,Rice farming,General Trade,Rural
Khulna,Jhenaidah,Jhenaidah Sadar,Services,Trade / agro-processing / services,General Trade,Semi-Urban
Khulna,Jhenaidah,Kaliganj,Agriculture,Shrimp / rice / fishing,General Trade,Rural
Khulna,Jhenaidah,Kotchandpur,Agriculture,Rice farming,General Trade,Rural
Khulna,Jhenaidah,Maheshpur,Agriculture,Rice & vegetable farming,General Trade,Rural
Khulna,Jhenaidah,Shailkupa,Agriculture,Rice farming,General Trade,Rural
Khulna,Kushtia,Bheramara,Industry,Power plant / ferry / trade,Industrial GT,Semi-Urban
Khulna,Kushtia,Daulatpur,Industry,Jute mill / industrial area,Industrial GT,Urban
Khulna,Kushtia,Khoksa,Agriculture,Rice & vegetable farming,General Trade,Rural
Khulna,Kushtia,Kumarkhali,Agriculture,Sugarcane / rice / silk,General Trade,Rural
Khulna,Kushtia,Kushtia Sadar,Services,Trade / textile / education,Mixed (GT+MT),Semi-Urban
Khulna,Kushtia,Mirpur,Agriculture,Rice & sugarcane,General Trade,Rural
Khulna,Meherpur,Gangni,Agriculture,Rice / vegetable farming,General Trade,Rural
Khulna,Meherpur,Meherpur Sadar,Agriculture,Rice / vegetable / border trade,General Trade,Semi-Urban
Khulna,Meherpur,Mujib Nagar,Agriculture,Rice farming,General Trade,Rural
Khulna,Chuadanga,Alamdanga,Agriculture,Rice & vegetable farming,General Trade,Rural
Khulna,Chuadanga,Chuadanga Sadar,Services,Trade / agro-processing,General Trade,Semi-Urban
Khulna,Chuadanga,Damurhuda,Agriculture,Rice & vegetable farming,General Trade,Rural
Khulna,Chuadanga,Jibannagar,Agriculture,Rice farming,General Trade,Rural
Sylhet,Sylhet,Balaganj,Agriculture,Rice / tea / remittance economy,General Trade,Rural
Sylhet,Sylhet,Beanibazar,Services,Remittance / trade / services,General Trade,Semi-Urban
Sylhet,Sylhet,Bishwanath,Agriculture,Rice / tea / remittance,General Trade,Rural
Sylhet,Sylhet,Companiganj,Agriculture,Stone / sand quarrying / rice,General Trade,Rural
Sylhet,Sylhet,Fenchuganj,Industry,Gas / fertiliser plant,Industrial GT,Semi-Urban
Sylhet,Sylhet,Golapganj,Agriculture,Rice / tea / remittance,General Trade,Rural
Sylhet,Sylhet,Gowainghat,Agriculture,Stone quarrying / rice / tourism,General Trade,Rural
Sylhet,Sylhet,Jaintiapur,Industry,Stone / sand / limestone quarrying,Industrial GT,Rural
Sylhet,Sylhet,Kanaighat,Agriculture,Rice / tea / border trade,General Trade,Rural
Sylhet,Sylhet,Osmani Nagar,Services,Remittance / residential / trade,General Trade,Semi-Urban
Sylhet,Sylhet,Sylhet Sadar,Services,Trade / remittance / education / tea,Mixed (GT+MT),Urban
Sylhet,Sylhet,Zakiganj,Agriculture,Rice / border trade / remittance,General Trade,Rural
Sylhet,Sylhet,South Surma,Services,Residential / trade,General Trade,Semi-Urban
Sylhet,Moulvibazar,Barlekha,Agriculture,Tea / rice farming,General Trade,Rural
Sylhet,Moulvibazar,Juri,Agriculture,Tea / rice farming,General Trade,Rural
Sylhet,Moulvibazar,Kamalganj,Agriculture,Tea / rubber plantation,General Trade,Rural
Sylhet,Moulvibazar,Kulaura,Agriculture,Tea / rice / rubber,General Trade,Rural
Sylhet,Moulvibazar,Moulvibazar Sadar,Services,Tea trade / tourism / services,General Trade,Semi-Urban
Sylhet,Moulvibazar,Rajnagar,Agriculture,Tea / rice farming,General Trade,Rural
Sylhet,Moulvibazar,Sreemangal,Agriculture,Tea / rubber / tourism,General Trade,Semi-Urban
Sylhet,Habiganj,Ajmiriganj,Agriculture,Rice / haor fishing,General Trade,Rural
Sylhet,Habiganj,Bahubal,Agriculture,Tea / rice farming,General Trade,Rural
Sylhet,Habiganj,Baniachong,Agriculture,Rice / haor fishing,General Trade,Rural
Sylhet,Habiganj,Chunarughat,Agriculture,Tea / rubber / rice,General Trade,Rural
Sylhet,Habiganj,Habiganj Sadar,Services,Tea trade / services / agro-processing,General Trade,Semi-Urban
Sylhet,Habiganj,Lakhai,Agriculture,Rice / haor fishing,General Trade,Rural
Sylhet,Habiganj,Madhabpur,Agriculture,Tea / rice farming,General Trade,Rural
Sylhet,Habiganj,Nabiganj,Agriculture,Rice / haor fishing / gas field,General Trade,Rural
Sylhet,Sunamganj,Bishwamvarpur,Agriculture,Rice / haor fishing,General Trade,Rural
Sylhet,Sunamganj,Chhatak,Industry,Cement / stone quarrying,Industrial GT,Semi-Urban
Sylhet,Sunamganj,Derai,Agriculture,Rice / haor fishing,General Trade,Rural
Sylhet,Sunamganj,Dharampasha,Agriculture,Rice / haor fishing,General Trade,Rural
Sylhet,Sunamganj,Dowarabazar,Agriculture,Rice / stone quarrying,General Trade,Rural
Sylhet,Sunamganj,Jagannathpur,Agriculture,Rice / haor fishing / remittance,General Trade,Rural
Sylhet,Sunamganj,Jamalganj,Agriculture,Rice / haor fishing,General Trade,Rural
Sylhet,Sunamganj,Sulla,Agriculture,Haor fishing / rice,General Trade,Rural
Sylhet,Sunamganj,Sunamganj Sadar,Services,Trade / haor fish market / services,General Trade,Semi-Urban
Sylhet,Sunamganj,Tahirpur,Agriculture,Rice / haor fishing,General Trade,Rural
Sylhet,Sunamganj,Shalla,Agriculture,Haor fishing / rice,General Trade,Rural
Barishal,Barishal,Barishal Sadar,Services,River port / trade / education,Mixed (GT+MT),Urban
Barishal,Barishal,Airport,Services,Residential / services,General Trade,Urban
Barishal,Barishal,Banaripara,Agriculture,Rice / vegetable / fishing,General Trade,Rural
Barishal,Barishal,Babuganj,Agriculture,Rice farming,General Trade,Rural
Barishal,Barishal,Bakerganj,Agriculture,Rice / betel leaf / fishing,General Trade,Rural
Barishal,Barishal,Belhara,Agriculture,Rice farming,General Trade,Rural
Barishal,Barishal,Gaurnadi,Agriculture,Rice & vegetable farming,General Trade,Rural
Barishal,Barishal,Hizla,Agriculture,Rice / char farming / fishing,General Trade,Rural
Barishal,Barishal,Mehendiganj,Agriculture,Rice / char farming / fishing,General Trade,Rural
Barishal,Barishal,Muladi,Agriculture,Rice farming / fishing,General Trade,Rural
Barishal,Barishal,Wazirpur,Agriculture,Rice / betel leaf,General Trade,Rural
Barishal,Bhola,Bhola Sadar,Services,Trade / char farming / fishing,General Trade,Semi-Urban
Barishal,Bhola,Burhanuddin,Agriculture,Rice / char cultivation,General Trade,Rural
Barishal,Bhola,Char Fasson,Agriculture,Rice / char land / fishing,General Trade,Rural
Barishal,Bhola,Daulatkhan,Agriculture,Rice / char farming,General Trade,Rural
Barishal,Bhola,Lalmohan,Agriculture,Rice / char cultivation,General Trade,Rural
Barishal,Bhola,Manpura,Agriculture,Rice / char farming / fishing,General Trade,Rural
Barishal,Bhola,Tazumuddin,Agriculture,Rice / char cultivation,General Trade,Rural
Barishal,Patuakhali,Bauphal,Agriculture,Rice / fishing / char,General Trade,Rural
Barishal,Patuakhali,Dashmina,Agriculture,Rice / fishing,General Trade,Rural
Barishal,Patuakhali,Dumki,Agriculture,Rice farming,General Trade,Rural
Barishal,Patuakhali,Galachipa,Agriculture,Rice / fishing / char,General Trade,Rural
Barishal,Patuakhali,Kalapara,Agriculture,Fishing / salt / shrimp,General Trade,Rural
Barishal,Patuakhali,Mirzaganj,Agriculture,Rice farming / fishing,General Trade,Rural
Barishal,Patuakhali,Patuakhali Sadar,Services,River port / trade / fishing hub,General Trade,Semi-Urban
Barishal,Patuakhali,Rangabali,Agriculture,Fishing / shrimp / salt,General Trade,Rural
Barishal,Pirojpur,Bhandaria,Agriculture,Rice / coconut / fishing,General Trade,Rural
Barishal,Pirojpur,Kawkhali,Agriculture,Rice farming,General Trade,Rural
Barishal,Pirojpur,Mathbaria,Agriculture,Rice / coconut / fishing,General Trade,Rural
Barishal,Pirojpur,Nazirpur,Agriculture,Rice farming / fishing,General Trade,Rural
Barishal,Pirojpur,Nesarabad,Agriculture,Rice farming,General Trade,Rural
Barishal,Pirojpur,Pirojpur Sadar,Services,Trade / agro-processing,General Trade,Semi-Urban
Barishal,Pirojpur,Zianagar,Agriculture,Rice / fishing,General Trade,Rural
Barishal,Jhalokati,Jhalokati Sadar,Services,River trade / small industry,General Trade,Semi-Urban
Barishal,Jhalokati,Kathalia,Agriculture,Rice / coconut,General Trade,Rural
Barishal,Jhalokati,Nalchity,Agriculture,Rice farming,General Trade,Rural
Barishal,Jhalokati,Rajapur,Agriculture,Rice farming,General Trade,Rural
Barishal,Barguna,Amtali,Agriculture,Rice / fishing / shrimp,General Trade,Rural
Barishal,Barguna,Bamna,Agriculture,Rice farming / fishing,General Trade,Rural
Barishal,Barguna,Barguna Sadar,Services,Trade / fishing / shrimp processing,General Trade,Semi-Urban
Barishal,Barguna,Betagi,Agriculture,Rice farming,General Trade,Rural
Barishal,Barguna,Pathorghata,Agriculture,Fishing / shrimp / rice,General Trade,Rural
Barishal,Barguna,Taltali,Agriculture,Fishing / shrimp / salt,General Trade,Rural
Rangpur,Rangpur,Rangpur Sadar,Services,Trade / agro-processing / education,Mixed (GT+MT),Semi-Urban
Rangpur,Rangpur,Badarganj,Agriculture,Rice & vegetable farming,General Trade,Rural
Rangpur,Rangpur,Gangachara,Agriculture,Rice / tobacco farming,General Trade,Rural
Rangpur,Rangpur,Kaunia,Agriculture,Rice farming,General Trade,Rural
Rangpur,Rangpur,Mithapukur,Agriculture,Rice & vegetable farming,General Trade,Rural
Rangpur,Rangpur,Pirgachha,Agriculture,Rice & vegetable farming,General Trade,Rural
Rangpur,Rangpur,Pirganj,Agriculture,Rice & tobacco farming,General Trade,Rural
Rangpur,Rangpur,Taraganj,Agriculture,Rice farming,General Trade,Rural
Rangpur,Dinajpur,Birampur,Agriculture,Rice / wheat farming,General Trade,Rural
Rangpur,Dinajpur,Birganj,Agriculture,Rice & wheat farming,General Trade,Rural
Rangpur,Dinajpur,Biral,Agriculture,Rice & vegetable farming,General Trade,Rural
Rangpur,Dinajpur,Bochaganj,Agriculture,Rice farming,General Trade,Rural
Rangpur,Dinajpur,Chirirbandar,Agriculture,Rice & wheat farming,General Trade,Rural
Rangpur,Dinajpur,Dinajpur Sadar,Services,Trade / agro-processing / education,Mixed (GT+MT),Semi-Urban
Rangpur,Dinajpur,Fulbari,Industry,Coal mine / agro-processing,Industrial GT,Semi-Urban
Rangpur,Dinajpur,Ghoraghat,Agriculture,Rice farming,General Trade,Rural
Rangpur,Dinajpur,Hakimpur,Agriculture,Rice & vegetable farming,General Trade,Rural
Rangpur,Dinajpur,Kaharole,Agriculture,Rice farming,General Trade,Rural
Rangpur,Dinajpur,Khansama,Agriculture,Rice & wheat farming,General Trade,Rural
Rangpur,Dinajpur,Nawabganj,Agriculture,Rice / mango farming,General Trade,Rural
Rangpur,Dinajpur,Parbatipur,Industry,Railway hub / agro-processing,General Trade,Semi-Urban
Rangpur,Gaibandha,Fulchhari,Agriculture,Rice / char cultivation,General Trade,Rural
Rangpur,Gaibandha,Gaibandha Sadar,Services,Trade / agro-processing,General Trade,Semi-Urban
Rangpur,Gaibandha,Gobindaganj,Agriculture,Rice & sugarcane / tobacco,General Trade,Rural
Rangpur,Gaibandha,Palashbari,Agriculture,Rice & vegetable farming,General Trade,Rural
Rangpur,Gaibandha,Sadullapur,Agriculture,Rice farming,General Trade,Rural
Rangpur,Gaibandha,Saghata,Agriculture,Rice / char cultivation,General Trade,Rural
Rangpur,Gaibandha,Sundarganj,Agriculture,Rice & vegetable farming,General Trade,Rural
Rangpur,Kurigram,Bhurungamari,Agriculture,Rice / char farming / border trade,General Trade,Rural
Rangpur,Kurigram,Char Rajibpur,Agriculture,Rice / char cultivation,General Trade,Rural
Rangpur,Kurigram,Chilmari,Agriculture,Rice / char / river port,General Trade,Rural
Rangpur,Kurigram,Kurigram Sadar,Services,Trade / agro-processing,General Trade,Semi-Urban
Rangpur,Kurigram,Nageshwari,Agriculture,Rice & vegetable farming,General Trade,Rural
Rangpur,Kurigram,Phulbari,Agriculture,Rice farming,General Trade,Rural
Rangpur,Kurigram,Rajarhat,Agriculture,Rice farming,General Trade,Rural
Rangpur,Kurigram,Raumari,Agriculture,Rice / char farming,General Trade,Rural
Rangpur,Kurigram,Ulipur,Agriculture,Rice / char cultivation,General Trade,Rural
Rangpur,Lalmonirhat,Aditmari,Agriculture,Rice & vegetable farming,General Trade,Rural
Rangpur,Lalmonirhat,Hatibandha,Agriculture,Rice farming / border trade,General Trade,Rural
Rangpur,Lalmonirhat,Kaliganj,Agriculture,Shrimp / rice / fishing,General Trade,Rural
Rangpur,Lalmonirhat,Lalmonirhat Sadar,Services,Trade / border / agro-processing,General Trade,Semi-Urban
Rangpur,Lalmonirhat,Patgram,Agriculture,Rice / border trade,General Trade,Rural
Rangpur,Nilphamari,Dimla,Agriculture,Rice & vegetable farming,General Trade,Rural
Rangpur,Nilphamari,Domar,Agriculture,Rice farming,General Trade,Rural
Rangpur,Nilphamari,Jaldhaka,Agriculture,Rice & vegetable farming,General Trade,Rural
Rangpur,Nilphamari,Kishoreganj,Agriculture,Rice farming,General Trade,Rural
Rangpur,Nilphamari,Nilphamari Sadar,Services,Trade / agro-processing,General Trade,Semi-Urban
Rangpur,Nilphamari,Saidpur,Industry,Railway / EPZ / trade hub,Mixed (GT+MT),Semi-Urban
Rangpur,Panchagarh,Atwari,Agriculture,Rice & vegetable farming,General Trade,Rural
Rangpur,Panchagarh,Boda,Agriculture,Rice farming / tea,General Trade,Rural
Rangpur,Panchagarh,Debiganj,Agriculture,Rice & vegetable farming,General Trade,Rural
Rangpur,Panchagarh,Panchagarh Sadar,Services,Trade / tea / border,General Trade,Semi-Urban
Rangpur,Panchagarh,Tetulia,Agriculture,Tea / rice / border trade,General Trade,Rural
Rangpur,Thakurgaon,Baliadangi,Agriculture,Rice & vegetable farming,General Trade,Rural
Rangpur,Thakurgaon,Haripur,Agriculture,Rice farming,General Trade,Rural
Rangpur,Thakurgaon,Pirganj,Agriculture,Rice & tobacco farming,General Trade,Rural
Rangpur,Thakurgaon,Ranisankail,Agriculture,Rice & vegetable farming,General Trade,Rural
Rangpur,Thakurgaon,Thakurgaon Sadar,Services,Trade / agro-processing,General Trade,Semi-Urban
Mymensingh,Mymensingh,Bhaluka,Industry,Garments / EPZ / industrial,Industrial GT,Semi-Urban
Mymensingh,Mymensingh,Dhobaura,Agriculture,Rice / hill crops,General Trade,Rural
Mymensingh,Mymensingh,Fulbaria,Agriculture,Rice & vegetable farming,General Trade,Rural
Mymensingh,Mymensingh,Gaffargaon,Agriculture,Rice & vegetable farming,General Trade,Rural
Mymensingh,Mymensingh,Gauripur,Agriculture,Rice & jute farming,General Trade,Rural
Mymensingh,Mymensingh,Haluaghat,Agriculture,Rice / hill crops / fishing,General Trade,Rural
Mymensingh,Mymensingh,Ishwarganj,Agriculture,Rice & vegetable farming,General Trade,Rural
Mymensingh,Mymensingh,Muktagachha,Agriculture,Rice / misti doi / small industry,General Trade,Semi-Urban
Mymensingh,Mymensingh,Mymensingh Sadar,Services,Education / agro-trade / services,Mixed (GT+MT),Semi-Urban
Mymensingh,Mymensingh,Nandail,Agriculture,Rice & vegetable farming,General Trade,Rural
Mymensingh,Mymensingh,Phulpur,Agriculture,Rice & jute farming,General Trade,Rural
Mymensingh,Mymensingh,Trishal,Agriculture,Rice / vegetable / small trade,General Trade,Rural
Mymensingh,Mymensingh,Tarakanda,Agriculture,Rice farming,General Trade,Rural
Mymensingh,Jamalpur,Bakshiganj,Agriculture,Rice / char cultivation,General Trade,Rural
Mymensingh,Jamalpur,Dewanganj,Agriculture,Rice / char farming,General Trade,Rural
Mymensingh,Jamalpur,Islampur,Agriculture,Rice & vegetable farming,General Trade,Rural
Mymensingh,Jamalpur,Jamalpur Sadar,Services,Trade / agro-processing / education,General Trade,Semi-Urban
Mymensingh,Jamalpur,Madarganj,Agriculture,Rice farming,General Trade,Rural
Mymensingh,Jamalpur,Melandaha,Agriculture,Rice & vegetable farming,General Trade,Rural
Mymensingh,Jamalpur,Sarishabari,Industry,Handloom / weaving / small trade,General Trade,Semi-Urban
Mymensingh,Netrokona,Atpara,Agriculture,Rice farming,General Trade,Rural
Mymensingh,Netrokona,Barhatta,Agriculture,Rice farming,General Trade,Rural
Mymensingh,Netrokona,Durgapur,Agriculture,Rice / haor fishing / stone quarry,General Trade,Rural
Mymensingh,Netrokona,Kalmakanda,Agriculture,Rice / hill crops,General Trade,Rural
Mymensingh,Netrokona,Kendua,Agriculture,Rice & vegetable farming,General Trade,Rural
Mymensingh,Netrokona,Khaliajuri,Agriculture,Haor fishing / rice,General Trade,Rural
Mymensingh,Netrokona,Madan,Agriculture,Rice / haor fishing,General Trade,Rural
Mymensingh,Netrokona,Mohanganj,Agriculture,Rice / haor fishing / small trade,General Trade,Semi-Urban
Mymensingh,Netrokona,Netrokona Sadar,Services,Trade / agro-processing / education,General Trade,Semi-Urban
Mymensingh,Netrokona,Purbadhala,Agriculture,Rice farming,General Trade,Rural
Mymensingh,Sherpur,Jhenaigati,Agriculture,Rice / hill crops / border,General Trade,Rural
Mymensingh,Sherpur,Nakla,Agriculture,Rice & vegetable farming,General Trade,Rural
Mymensingh,Sherpur,Nalitabari,Agriculture,Rice / hill crops / fishing,General Trade,Rural
Mymensingh,Sherpur,Sherpur Sadar,Services,Trade / agro-processing,General Trade,Semi-Urban
Mymensingh,Sherpur,Sreebardi,Agriculture,Rice / hill crops,General Trade,Rural
